문장,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타혐오,악플/욕설,clean,source
일안하는 시간은 쉬고싶어서 그런게 아닐까,0,0,0,0,0,0,0,0,0,1,unsmile_train
아동성범죄와 페도버는 기록바 끊어져 영원히 고통 받는다. 무슬림 50퍼 근친이다. 10 16까지 IQ 떨어지고 출산 위험은 400% 다.,0,0,0,0,0,0,1,0,0,0,unsmile_train
"루나 솔로앨범 나왔을 때부터 머모 기운 있었음 ㅇㅇ Keep o  doin 진짜 띵곡임 꼭 들어보셈""",0,0,0,0,0,0,0,0,0,1,unsmile_train
홍팍에도 어버이연합인가 보내요 뭐 이런뎃글 있는데 이거 어버이연합측에 신고하면 그쪽에서 고소 가능하냐?,0,0,0,0,0,0,0,0,0,1,unsmile_train
아놔 왜 여기 댓들은 다 여자들이 김치녀라고 먼저 불렸다! 여자들은 더 심하게 그런다! 이렇게 2개로 싸우냐.. 내가 볼 땐 둘다 나쁜 말 그 이상도 이하도 아닌데,1,0,0,0,0,0,0,0,0,0,unsmile_train
고향가서 피방가면 동네 부럴 친구들이랑은 뭐 거르는 거 없이 이야기하니까 막 말하게 되더라 당연히 키보드를 치거나 그러지는 않는데 말하는게 많이 거칠어지긴 해 반성해야겠네,0,0,0,0,0,0,0,0,0,1,unsmile_train
예수 십새끼 개새끼 창녀아들 애비실종 가정교육 못받은 무뇌충 허언증 정신병자 사기꾼 망상 근본없는 병신 장애인 짱개 흑인 이슬람 전라도랑 동급,0,0,0,1,0,1,1,1,0,0,unsmile_train
나이쳐먹고 피시방가는 놈들은 대가리에 똥만찬 놈들임,0,0,0,0,0,0,0,0,1,0,unsmile_train
출산청같은 소리하네. 우리나라 계집들 다 의무적으로 군대보내면 해결될 일이다. 정신개조부터 시켜야지. 지할꺼 다하고 무슨 애를 낳고 무슨 자식교육을 하냐?,1,0,0,0,0,0,0,0,0,0,unsmile_train
재능 ㅂㅅㅌㅊ노 ㅋㅋㅋㅋㅋ나도 합성배우고싶다이기,0,0,0,0,0,0,0,0,0,1,unsmile_train
가짜 남자는 어떻게 생겼냐?,0,0,1,0,0,0,0,0,0,0,unsmile_train
이슬람뺨치내,0,0,0,1,0,0,1,0,0,0,unsmile_train
아 어린이집에 월요일에 데려다주고 금요일에 데리고 왔단다...... 아 가슴이 너무 아프다......고작 3살 아가가 얼마나 외로웠을까.....아~~~~~~~~~~~~~~~!!!!!!!!!!!!!!,0,0,0,0,0,0,0,0,0,1,unsmile_train
갓슬람 정희구현 테러 ㅅㅅㅅㅅ미제양키새끼들에게는 테러가 답이다좆같은 양키 씨발새끼들,0,0,0,1,0,0,1,0,0,0,unsmile_train
AICPA 따고 넘어갔나보네,0,0,0,0,0,0,0,0,0,1,unsmile_train
"원 리더십, 원 메시지로 내부 결속을 더 강화하고 외부로 리마커블(remarkable)한 이미지를 구축하여 다시 교회로 모일수 있기를 소망하고 기도합니다",0,0,0,0,0,0,0,0,0,1,unsmile_train
협박스킬은 패시브랑께,0,0,0,0,0,0,0,0,0,1,unsmile_train
위로와 격려를 호텔에서 해? 왜? 저여자도 정상은 아니구만 완전 지네 할아버지보다 나이가 더 많을듯한데 토나올꺼같은데.. 둘다 미쳤구만.. 그렇게 더러운짓은 하고 설교를 어떻게 하는거야.. 웩!,0,0,0,0,0,0,0,0,1,0,unsmile_train
메틸 알콜 집에서 쓰고 있다. 질문 받는다. 99프로 에틸에 1프로 메틸 들어간다. 공업용 에틸 알콜은 면세라 불법적으로 술제조 때문에 1프로 정도 메틸이 들어가면서 제조방지용으로 쓴다..,0,0,0,0,0,0,0,0,0,1,unsmile_train
띄울사람이 진짜 없긴 없나보다,0,0,0,0,0,0,0,0,1,0,unsmile_train
한국패미=고유정 수준 ㅋㅋㅋ,1,0,0,0,0,0,0,0,0,0,unsmile_train
CNN 구구절절 팩트,0,0,0,0,0,0,0,0,0,1,unsmile_train
쑈 빼고 아무것도 없는 개돼지 정권이노 탄핵 개힘조,0,0,0,0,0,0,0,0,1,0,unsmile_train
"진짜 저것들 아주 싫다, 싫어. 내가 외국년놈들에게 욕질 괜히 해대는 게 아니다.",0,0,0,1,0,0,0,0,0,0,unsmile_train
이슬람이고 뭐고 그냥 종교충들은 다 죽었으면 좋겠어,0,0,0,0,0,0,1,0,0,0,unsmile_train
홍어무침 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0,0,0,1,0,0,0,0,unsmile_train
안티페미 운운하기 전에 우리나라에서 페미라고 설치는 작자들이 어떻게 설치고 다니는지나 직시해보는게 우선인 것 같은데ㅋㅋㅋ,1,0,0,0,0,0,0,0,0,0,unsmile_train
뭐하냐 기업이네 기업이여 기업에 돈갖다 받치는 어이없는 시키들도 문제다,0,0,0,0,0,0,0,0,1,0,unsmile_train
홍들 피들 폭들 ㅎㅎㅎ,0,0,0,0,0,1,0,0,0,0,unsmile_train
안희 정민아 왜 저깄노 ㅋㅋㅋㅋ,0,0,0,0,0,0,0,0,0,1,unsmile_train
큰일났노. 저 글쓴 자댕이를 재기로 위장해서 죽일방법 보내놨으니 봐라이기야.,0,1,0,0,0,0,0,0,0,0,unsmile_train
진씨는 왜 반말이야 ?,0,0,0,0,0,0,0,0,0,1,unsmile_train
교회다녀봤는데 교인들은 보여지는것에 집중하고 그들이 말하는 속세의 사람들보다 가식적임 그리고 굉장히 이분법적사고를 갖고있어서 아마 이런상황에서 예배를 드린다는거에 우선순위를 지켰다고 자뻑하고있을거임 개뿔 하나님은 그런 이기적이고 천박한 신앙을 원치 않으실 거다 개독들아,0,0,0,0,0,0,1,0,0,0,unsmile_train
사망이후 조사받기 전까지 이 분 통화내역 확인 필요,0,0,0,0,0,0,0,0,0,1,unsmile_train
뜬구름 잡는 소리 하고 있네.,0,0,0,0,0,0,0,0,1,0,unsmile_train
이새끼 전라도,0,0,0,0,0,1,0,0,0,0,unsmile_train
도대체 이정권에서 무고한목숨이 얼마나죽는가,0,0,0,0,0,0,0,0,1,0,unsmile_train
진짜 전라도 존나 싫다,0,0,0,0,0,1,0,0,0,0,unsmile_train
돈고는 질병이다 이기야,0,0,1,0,0,0,0,0,0,0,unsmile_train
보지들은 딱히 저런 거에 대해 자존심 같은 걸 안 느끼지 않나,1,0,0,0,0,0,0,0,0,0,unsmile_train
오세라비님은 페미니스트 아닙니다만 ^^;;,0,0,0,0,0,0,0,0,0,1,unsmile_train
뉴스 보니까 길이 낯설지 않더라.,0,0,0,0,0,0,0,0,0,1,unsmile_train
동성애는 저주야!,0,0,1,0,0,0,0,0,0,0,unsmile_train
애들 먹이게 돈가스 좀 달라는건 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋ아니 애들 먹는 돈가스는 어디 하늘에서 뚝 떨어지냐 양심도 없노 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0,0,0,0,0,0,0,1,unsmile_train
맞노.저멘트로 타격느끼는건 개념려둘뿐이다 ㅋㅋㅋㅋㅋ,0,0,0,0,0,0,0,0,0,1,unsmile_train
냄져들 기싸움이 더하다....,0,1,0,0,0,0,0,0,0,0,unsmile_train
마포가 뭘뜻하는거냐?,0,0,0,0,0,0,0,0,0,1,unsmile_train
